LAC TRUE:	m=1 n=1 	degree=1	expected la(G)=1	computed la(G)=1
LAC TRUE:	m=1 n=2 	degree=2	expected la(G)=2	computed la(G)=1
LAC TRUE:	m=1 n=3 	degree=3	expected la(G)=2	computed la(G)=2
LAC TRUE:	m=1 n=4 	degree=4	expected la(G)=3	computed la(G)=2
LAC TRUE:	m=1 n=5 	degree=5	expected la(G)=3	computed la(G)=3
LAC TRUE:	m=1 n=6 	degree=6	expected la(G)=4	computed la(G)=3
LAC TRUE:	m=1 n=7 	degree=7	expected la(G)=4	computed la(G)=4
LAC TRUE:	m=1 n=8 	degree=8	expected la(G)=5	computed la(G)=4
LAC TRUE:	m=1 n=9 	degree=9	expected la(G)=5	computed la(G)=5
LAC TRUE:	m=1 n=10 	degree=10	expected la(G)=6	computed la(G)=5
LAC TRUE:	m=2 n=1 	degree=2	expected la(G)=2	computed la(G)=1
LAC TRUE:	m=2 n=2 	degree=2	expected la(G)=2	computed la(G)=2
LAC TRUE:	m=2 n=3 	degree=3	expected la(G)=2	computed la(G)=2
LAC TRUE:	m=2 n=4 	degree=4	expected la(G)=3	computed la(G)=2
LAC TRUE:	m=2 n=5 	degree=5	expected la(G)=3	computed la(G)=3
LAC TRUE:	m=2 n=6 	degree=6	expected la(G)=4	computed la(G)=3
LAC TRUE:	m=2 n=7 	degree=7	expected la(G)=4	computed la(G)=4
LAC TRUE:	m=2 n=8 	degree=8	expected la(G)=5	computed la(G)=4
LAC TRUE:	m=2 n=9 	degree=9	expected la(G)=5	computed la(G)=5
LAC TRUE:	m=2 n=10 	degree=10	expected la(G)=6	computed la(G)=5
LAC TRUE:	m=3 n=1 	degree=3	expected la(G)=2	computed la(G)=2
LAC TRUE:	m=3 n=2 	degree=3	expected la(G)=2	computed la(G)=2
LAC TRUE:	m=3 n=3 	degree=3	expected la(G)=2	computed la(G)=2
LAC TRUE:	m=3 n=4 	degree=4	expected la(G)=3	computed la(G)=3
LAC FALSE:	m=3 n=5 	degree=5	expected la(G)=3	computed la(G)=4
LAC TRUE:	m=3 n=6 	degree=6	expected la(G)=4	computed la(G)=4
LAC FALSE:	m=3 n=7 	degree=7	expected la(G)=4	computed la(G)=5
LAC TRUE:	m=3 n=8 	degree=8	expected la(G)=5	computed la(G)=4
LAC FALSE:	m=3 n=9 	degree=9	expected la(G)=5	computed la(G)=6
LAC TRUE:	m=3 n=10 	degree=10	expected la(G)=6	computed la(G)=5
LAC TRUE:	m=4 n=1 	degree=4	expected la(G)=3	computed la(G)=2
LAC TRUE:	m=4 n=2 	degree=4	expected la(G)=3	computed la(G)=2
LAC TRUE:	m=4 n=3 	degree=4	expected la(G)=3	computed la(G)=2
LAC TRUE:	m=4 n=4 	degree=4	expected la(G)=3	computed la(G)=3
LAC FALSE:	m=4 n=5 	degree=5	expected la(G)=3	computed la(G)=4
LAC TRUE:	m=4 n=6 	degree=6	expected la(G)=4	computed la(G)=4
LAC FALSE:	m=4 n=7 	degree=7	expected la(G)=4	computed la(G)=5
LAC TRUE:	m=4 n=8 	degree=8	expected la(G)=5	computed la(G)=5
LAC FALSE:	m=4 n=9 	degree=9	expected la(G)=5	computed la(G)=6
LAC TRUE:	m=4 n=10 	degree=10	expected la(G)=6	computed la(G)=6
LAC TRUE:	m=5 n=1 	degree=5	expected la(G)=3	computed la(G)=3
LAC TRUE:	m=5 n=2 	degree=5	expected la(G)=3	computed la(G)=3
LAC FALSE:	m=5 n=3 	degree=5	expected la(G)=3	computed la(G)=4
LAC FALSE:	m=5 n=4 	degree=5	expected la(G)=3	computed la(G)=4
LAC FALSE:	m=5 n=5 	degree=5	expected la(G)=3	computed la(G)=4
LAC TRUE:	m=5 n=6 	degree=6	expected la(G)=4	computed la(G)=4
LAC FALSE:	m=5 n=7 	degree=7	expected la(G)=4	computed la(G)=5
LAC TRUE:	m=5 n=8 	degree=8	expected la(G)=5	computed la(G)=5
LAC FALSE:	m=5 n=9 	degree=9	expected la(G)=5	computed la(G)=6
LAC TRUE:	m=5 n=10 	degree=10	expected la(G)=6	computed la(G)=6
LAC TRUE:	m=6 n=1 	degree=6	expected la(G)=4	computed la(G)=3
LAC TRUE:	m=6 n=2 	degree=6	expected la(G)=4	computed la(G)=4
LAC TRUE:	m=6 n=3 	degree=6	expected la(G)=4	computed la(G)=4
LAC TRUE:	m=6 n=4 	degree=6	expected la(G)=4	computed la(G)=4
LAC TRUE:	m=6 n=5 	degree=6	expected la(G)=4	computed la(G)=4
LAC TRUE:	m=6 n=6 	degree=6	expected la(G)=4	computed la(G)=4
